distance from ice divide (m)	bed elevation (m a.s.l.)	width (m)
20800	83.6	7610.933412
21000	82	7538.388891
21200	80.4	7466.101219
21400	78.8	7394.082
21600	77.2	7322.342612
21800	75.6	7250.894206
22000	74	7179.747706
22200	72.4	7108.913813
22400	70.8	7038.403004
22600	69.2	6968.225535
22800	67.6	6898.391442
23000	66	6828.910541
23200	64.4	6759.79243
23400	62.8	6691.046489
23600	61.2	6622.681886
23800	59.6	6554.707573
24000	58	6487.132287
24200	56.4	6419.964558
24400	54.8	6353.212702
24600	53.2	6286.884828
24800	51.6	6220.988835
25000	50	6155.532418
25200	48.4	6090.523066
25400	46.8	6025.968063
25600	45.2	5961.874491
25800	43.6	5898.249232
26000	42	5835.098966
26200	40.4	5772.430174
26400	38.8	5710.249141
26600	37.2	5648.561955
26800	35.6	5587.374508
27000	34	5526.692499
27200	32.4	5466.521436
27400	30.8	5406.866633
27600	29.2	5347.733216
27800	27.6	5289.126121
28000	26	5231.050098
28200	24.4	5173.50971
28400	22.8	5116.509335
28600	21.2	5060.053169
28800	19.6	5004.145222
29000	18	4948.789328
29200	16.4	4893.989137
29400	14.8	4839.748123
29600	13.2	4786.069581
29800	11.6	4732.956631
30000	10	4680.412219
30200	8.4	4628.439116
30400	6.8	4577.039923
30600	5.2	4526.217067
30800	3.6	4475.972809
31000	2	4426.309239
31200	0.4	4377.228281
31400	-1.2	4328.731693
31600	-2.8	4280.821069
31800	-4.4	4233.497839
32000	-6	4186.763271
32200	-7.6	4140.618474
32400	-9.2	4095.064395
32600	-10.8	4050.101825
32800	-12.4	4005.731397
33000	-14	3961.953589
33200	-15.6	3918.768724
33400	-17.2	3876.176972
33600	-18.8	3834.178352
33800	-20.4	3792.772733
34000	-22	3751.959832
34200	-23.6	3711.739221
34400	-25.2	3672.110323
34600	-26.8	3633.072418
34800	-28.4	3594.624641
35000	-30	3556.765982
35200	-31.6	3519.495292
35400	-33.2	3482.811281
35600	-34.8	3446.712519
35800	-36.4	3411.19744
36000	-38	3376.26434
36200	-39.6	3341.911379
36400	-41.2	3308.136586
36600	-42.8	3274.937854
36800	-44.4	3242.312948
37000	-46	3210.259499
37200	-47.6	3178.775012
37400	-49.2	3147.856863
37600	-50.8	3117.502303
37800	-52.4	3087.708456
38000	-54	3058.472324
38200	-55.6	3029.790785
38400	-57.2	3001.660598
38600	-58.8	2974.078399
38800	-60.4	2947.040707
39000	-62	2920.543924
39200	-63.6	2894.584336
39400	-65.2	2869.158111
39600	-66.8	2844.261308
39800	-68.4	2819.889871
40000	-70	2796.039632
40200	-71.6	2772.706316
40400	-73.2	2749.885537
40600	-74.8	2727.572804
40800	-76.4	2705.763517
41000	-78	2684.452975
41200	-79.6	2663.636371
41400	-81.2	2643.308796
41600	-82.8	2623.465241
41800	-84.4	2604.100597
42000	-86	2585.209657
42200	-87.6	2566.787115
42400	-89.2	2548.827573
42600	-90.8	2531.325535
42800	-92.4	2514.275413
43000	-94	2497.671527
43200	-95.6	2481.508107
43400	-97.2	2465.779292
43600	-98.8	2450.479134
43800	-100.4	2435.601598
44000	-102	2421.140564
44200	-103.6	2407.089825
44400	-105.2	2393.443093
44600	-106.8	2380.194
44800	-108.4	2367.336093
45000	-110	2354.862843
45200	-111.6	2342.767643
45400	-113.2	2331.043808
45600	-114.8	2319.684577
45800	-116.4	2308.683117
46000	-118	2298.032521
46200	-119.6	2287.725809
46400	-121.2	2277.755933
46600	-122.8	2268.115775
46800	-124.4	2258.798149
47000	-126	2249.795802
47200	-127.6	2241.101417
47400	-129.2	2232.707611
47600	-130.8	2224.606941
47800	-132.4	2216.791901
48000	-134	2209.254923
48200	-135.6	2201.988385
48400	-137.2	2194.984602
48600	-138.8	2188.235836
48800	-140.4	2181.734293
49000	-142	2175.472124
49200	-143.6	2169.441431
49400	-145.2	2163.63426
49600	-146.8	2158.04261
49800	-148.4	2152.658431
50000	-150	2147.473625
50200	-151.6	2142.480048
50400	-153.2	2137.669511
50600	-154.8	2133.033781
50800	-156.4	2128.564583
51000	-158	2124.253602
51200	-159.6	2120.092481
51400	-161.2	2116.072826
51600	-162.8	2112.186206
51800	-164.4	2108.424152
52000	-166	2104.778163
52200	-167.6	2101.239702
52400	-169.2	2097.800201
52600	-170.8	2094.451062
52800	-172.4	2091.183655
53000	-174	2087.989324
53200	-175.6	2084.859385
53400	-177.2	2081.785127
53600	-178.8	2078.757817
53800	-180.4	2075.768697
54000	-182	2072.808986
54200	-183.6	2069.869884
54400	-185.2	2066.942572
54600	-186.8	2064.018211
54800	-188.4	2061.087947
55000	-190	2058.142907
55200	-191.6	2055.174208
55400	-193.2	2052.172952
55600	-194.8	2049.130227
55800	-196.4	2046.037115
56000	-198	2042.884684
56200	-199.6	2039.663997
56400	-201.2	2036.366109
56600	-202.8	2032.98207
56800	-204.4	2029.502927
57000	-206	2025.919721
57200	-207.6	2022.223494
57400	-209.2	2018.405287
57600	-210.8	2014.456142
57800	-212.4	2010.367101
58000	-214	2006.129214
58200	-215.6	2001.73353
58400	-217.2	1997.171109
58600	-218.8	1992.433016
58800	-220.4	1987.510324
59000	-222	1982.394117
59200	-223.6	1977.07549
59400	-225.2	1971.545549
59600	-226.8	1965.795416
59800	-228.4	1959.816225
60000	-230	1953.599128
